Location,Filename,AQI,AQI_Class
Tamil Nadu,TN_UnFSG_2023-03-02-08.30-1.jpg,119,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-24-08.30-1-166.jpg,68,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-24.jpg,141,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-03-10-16.00-1-76.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-2-8.jpg,449,f_Severe
Bengaluru,BENGR_Good_2023-02-26-08.30-1-236.jpg,48,a_Good
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-2-48.jpg,141,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-526.jpg,56,b_Moderate
Mumbai,MH_UnFSG_2023-02-17-19.00-2-37.jpg,145,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-11-03.30-2-49.jpg,154,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-1-25.jpg,268,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 1700-3-58.jpg,156,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-2.jpg,91,b_Moderate
Tamil Nadu,TN_UNH_2023-02-03-13.30-1-21.jpg,167,d_Unhealthy
"Biratnagar, Nepal",BRI_UFSG_2023-02-03- 16.00-5.jpg,141,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-19.jpg,330,f_Severe
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-152.jpg,281,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-4.jpg,449,f_Severe
"ITO, Delhi",DEL_SEV_2023-02-22-14.00-2-296.jpg,450,f_Severe
Tamil Nadu,TN_UnFSG_2023-03-09-09.00-1-6.jpg,134,c_Unhealthy_for_Sensitive_Groups
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-3-34.jpg,103,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-22-09.30-1-221.jpg,36,a_Good
Bengaluru,BENGR_Good_2023-02-28-08.30-1-131.jpg,37,a_Good
"Biratnagar, Nepal",BRI_UFSG_2023-02-03- 16.00-4.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-1-45.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-677.jpg,223,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-28-08.30-1-156.jpg,37,a_Good
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-229.jpg,104,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-5.jpg,158,d_Unhealthy
Bengaluru,BENGR_Good_2023-02-27-08.30-1-471.jpg,47,a_Good
Tamil Nadu,TN_Mod_2023-02-28-08.30-1-136.jpg,73,b_Moderate
Mumbai,MH_UN_2023-03-16-11.00-1-78.jpg,159,d_Unhealthy
"Biratnagar, Nepal",BRI_Un_2023-02-09-08.00-6.jpg,171,d_Unhealthy
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-45.jpg,101,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-87.jpg,156,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-111.jpg,293,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-289.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-127.jpg,158,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-3-316.jpg,363,f_Severe
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3145.jpg,230,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-56.jpg,156,d_Unhealthy
Mumbai,MH_UnFSG_2023-02-17-13.00-2-1.jpg,140,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-24-08.30-1-21.jpg,68,b_Moderate
Tamil Nadu,TN_UnFSG_2023-03-02-08.30-1-236.jpg,119,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-14-11.30-1-29.jpg,160,d_Unhealthy
Bengaluru,BENGR_Good_2023-02-28-08.30-1-451.jpg,37,a_Good
Mumbai,MH_VUN_2023-03-05-08.30-2-361.jpg,284,e_Very_Unhealthy
Mumbai,MH_UH_2023-02-19-12.00-1-58.jpg,160,d_Unhealthy
"Biratnagar, Nepal",BRI_Un_2023-02-09-08.00-12.jpg,171,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-5.jpg,91,b_Moderate
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-301.jpg,141,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-57.jpg,141,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-06-08.30-1-66.jpg,68,b_Moderate
Mumbai,MH_VUN_2023-02-25-10.00-1-66.jpg,206,e_Very_Unhealthy
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-181.jpg,73,b_Moderate
Mumbai,MH_VUN_2023-03-05-08.30-1-1.jpg,284,e_Very_Unhealthy
Mumbai,MH_UH_2023-02-19-12.00-1-4.jpg,160,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-51.jpg,372,f_Severe
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-1-21.jpg,158,d_Unhealthy
"ITO, Delhi",DEL_VUH_2023-02-04-17.00-2-38.jpg,281,e_Very_Unhealthy
Mumbai,MH_UH_2023-02-10-14.30-1-80.jpg,160,d_Unhealthy
Bengaluru,BENGR_Good_2023-03-25-08.30-1-85.jpg,32,a_Good
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-2-3.jpg,268,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4913.jpg,230,e_Very_Unhealthy
"ITO, Delhi",DEL_UnH_2023-02-15-11.30-2-21.jpg,179,d_Unhealthy
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-416.jpg,73,b_Moderate
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-446.jpg,106,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-8.jpg,105,c_Unhealthy_for_Sensitive_Groups
